INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
Regis Danese;01773;MEU DEUS É FORTE;Entreguei a minha vida pra Jesus 
Regis Danese;02723;FAMÍLIA;Te agradeço pela minha família
Regis Danese;02754;RESSUSCITA O MEU SONHO;Ressuscita os meus sonhos Senhor
Regis Danese;02950;COMPROMISSO;Eu sei que se eu te obedecer e se Tua
Regis Danese;02959;TE ADORAR;Senhor eu sei que eu preciso
Regis Danese;02966;ALIANÇA;Hoje eu vou fazer uma aliança com 
Reinaldo;06206;ATÉ DE MANHÃ;Firma na palma da mão...
REM;04934;LOSING MY RELIGION;Oh, life is bigger...
RENASCER IV;05612;GRANDES COISAS;Grandes coisas fez o Senhor por...
RENASCER IV;05620;MAIS QUE VENCEDOR;Jesus em Tua fidelidade eu me...
RENASCER IV;05641;YESHUA HAMASHIA;Na cidaed de Davi no monte Sião...
Renascer Praise;02991;PROMESSA;Parece mesmo que este dia nunca
Renascer Praise;07738;ADORADOR;Declarar o meu amor a Ti
Renascer Praise;07787;GRAÇAS TE DAMOS;Por tudo que és por tudo que tens feit
Renascer Prise;05511;BOM ESTARMOS AQUI;Bom estarmos aqui louvando a Deus
Renascer Prise;05513;BUSCAR-ME-EIS;Buscar-me-eis e me achareis
Renascer Prise;05518;CRISTO VENCEDOR;Vem engrandecer a Deus comigo
Renascer Prise;05521;DESEJAMOS;Desejamos a tua presença Senhor
Renascer Prise;05522;DEUS DO IMPOSSÍVEL;Seu nome é Deus do impossível
Renascer Prise;05525;DIGNO DE LOUVOR;Digno de louvor é o Senhor dos exérci
Renascer Prise;05528;ENTRAMOS NESTE LUGAR;Entramos neste lugar
Renascer Prise;05531;EU SEI QUE ESTÁS COMIGO;Eu sei que estás comigo, Senhor
Renascer Prise;05579;RENDEMOS GLÓRIA;Viemos aqui, neste lugar nos unimos
Renascer Prise;05583;SE NÃO FORA O SENHOR;Se não fora o Senhor se não fora o Se
RENASCER V;05619;MAIS DE TI;Oh Santo Deus posso comtemplar...
RENASCER V;05632;PLANO MELHOR;É só esperar acontecer...
RENASCER V;05640;VOZ DO ESPÍRITO;Espírito eu amo a Tua voz...
Renato e seus Blue Caps;01601;A PRIMEIRA LÁGRIMA;A primeira lágrima
Renato e seus Blue Caps;01602;ATÉ O FIM;Você vai crescer e então verá
Renato e Seus Blue Caps;02667;ESQUEÇA E PERDOE;Se um dia eu disse cansei de você
Renato e seus Blue Caps;02725;MEU BEM NÃO ME QUER;Briguei só pra ver se ela
Renato e seus Blue Caps;02717;NÃO ME DIGA ADEUS;Não me diga adeus agora meu bem
Renato e Seus Blue Caps;15420;NÃO QUERO VER VOCÊ CHORAR;Lá lá... Eu não quero ver você chorar
Renato e Seus Blue Caps;15500;PLAYBOY;Playboy playboy não sei se você é feliz 
Renato e Seus Blue Caps;15557;SIM, SOU FELIZ;Sim sou feliz porque aprendi a chorar
Renato e Seus Blue Caps;15615;NO DIA EM QUE JESUS VOLTAR;No dia em que Jesus voltar e a terra se
Renato E Seus Blue Caps;03922;MENINA LINDA;Ah! Deixa essa boneca faça-me
Renato e Seus Blue Caps;16273;MEU PRIMEIRO AMOR;O meu primeiro amor
Renato e Seus Blue Caps;16398;QUANDO A CIDADE DORME;Tudo é solidão quanedo eu vou sair
Renato E Seus Blue Caps;04125;NÃO TE ESQUECEREI;Não te esquecerei meu eterno amor
Renato E Seus Blue Caps;06211;FECHE OS OLHOS;Feche os olhos e sinta um beijinho...
Renato E Seus Blue Caps;07224;PRA VOCÊ NÃO SOU NINGUÉM;Eu não quero mais você perto de mim
Renato Guimarães;07415;POEMA;Poema... é noite escura de amargura
Renato Luciano - Ney Matogrosso;16263;DE TODA COR;Passarinho de toda cor gente de toda cor
Renato Russo;03639;STRANI AMORI;Mi dispiace devo andare via
Renato Russo;04040;LA FORZA DELLA VITA;Anche quando ci buttiamo via
Renato Russo;06539;MAIS UMA VEZ;Mas é claro que o sol vai voltar…
Renato Teixeira;07924;CAVALO BRAVO;Olhando um cavalo bravo no seu livre
Renato Teixeira;09390;AMORA;Depois da curva da estrada
Renato Teixeira;01201;A VIOLA E O CANTADOR;La la la la
Renato Teixeira;01461;MORENINHA, SE EU TE PEDISSE;Moreninha se eu te pedisse
Renato Teixeira;01876;SAUDADE;Se queres compreender o que é saudade
Renato Teixeira;16201;AMANHECEU, PEGUEI A VIOLA;Amanheceu peguei a viola
Renato Terra;07571;COISA DE MOMENTO;Falar a verdade me faz tão bem
RESGATE;05618;LIBERDADE;Uma gota seca na minha mente...
Resgate;05501;5:50 AM;Abro os olhos sob o mesmo teto
Resgate;05503;A PAZ;A mente imagina o paraíso
Resgate;05505;ABRIR OS OLHOS;Corre todo dia, toda hora
Resgate;05506;ACUSADOR;Eu conheço as tuas mentiras
Resgate;05516;CONTROLE;Ele está no meio do seu povo
Resgate;05519;DANIEL;Os manjares do rei o contágio fatal
Resgate;05535;FLORZINHA;Eu sou uma florzinha de Jesus
Resgate;05536;FOGO;Janeiro, fevereiro, março, abril
Resgate;05545;LEVE FARDO;O duro jugo, pesado fardo eu levei
Resgate;05555;MISTÉRIO;Andava como um político em cima do
Resgate;05560;PAPO DE LÓKI;A gente tá mal
Resgate;05561;PARALELO;Morte, morte
Resgate;05565;PRÍNCIPE;Um menino nos nasceu um Filho se nos
Resgate;05568;QUEM É ELE;Quem é Ele?
Resgate;05581;ROCK DA VOVÓ;Nas viagens que eu fazia nunca me pre
Resgate;05585;SOBRE A ROCHA;Disse o tolo em seu coração
Resgate;05586;SOLIDÃO;A solidão e uma rachadura
Resgate;05588;TEMPO;Tudo tem seu tempo determinado
Resgate;05596;VIDA;Tantos morrem de fome em frente o aço
Restart;01510;RECOMEÇAR;E eu sei
Restart;01593;LEVO COMIGO;Eu quis escrever uma canção
Restart;02780;VOU CANTAR;Sei que os dias passaram
Restart;02892;MENINA ESTRANHA;Eu conheci uma menina diferente
Restart;02921;MINHA ESTRELA;Alguma coisa aconteceu
Restart;15246;CARA DE SANTA;Ela me ligou disse tô nem aí 
Restart;15956;RENASCER;Dessa vez tô escrevendo só pra poder entender
Revelação;06418;GRADES DO CORAÇÃO;Quando eu te vi pela primeira vez…
Revelação;06796;TALVEZ;Eu quis um dia te dar...
Ricardo & Eduardo;01542;BEIJO, ME LIGA;Beijo me liga e a gente fica
Ricardo Braga;06397;UMA ESTRELA VAI BRILHAR;Uma estrela vai brilhar no meu caminho…
Ricardo Chaves;01726;MIL CIDADES;Vai levar um tempo ainda para te esq 
Ricardo Chaves;03986;ACABOU;Eu tenho andado meio preocupado
Ricardo Chaves;03185;O BICHO;Quando o vento bater nos seus cabelos
Richard Marx;19803;HAZARD;My mother came to Hazard when I was
Richard Marx;09161;RIGHT HERE WAITING;Oceans apart day after day…
Richard Marx;04747;NOW AND FOREVER;Whenever I’m weary...
Richie Valens;04704;DONNA;Oh Donna Oh Donna...
Rick Astley;09019;CRY FOR HELP;She's taken my time convinced me she's f
Rick Astley;09142;NEVER GONNA GIVE YOU UP;We're no strangers to love…
Rick E Rener;01735;ESCOLTA DE VAGALUMES;Voltando pra minha terra eu renasci 
Rick E Rener;06820;EU MEREÇO;Foi só uma noite e nada mais
Rick E Rener;06952;NÓIS TROPICA MAIS NÃO CAI;Nóis tropica mais não cai…
Rick e Rener - Rionegro e Solimões;15708;O BOTECO ENVENENOU;E o boteco envenenou boteco envenenou agora
Rick E Renner;07608;FILHA;Hoje eu parei pra escrever
Rick e Renner;09370;VOU GANHAR VOCÊ;Quando você chega ilumina tudo
Rick e Renner;07933;CREDENCIAL;Vou fazer de tudo pra te esquecer
Rick e Renner;09421;COISA DE DEUS;Linda bem mais que linda
Rick e Renner;09402;BERRANDO QUE NEM BOI;Oh meu Deus do céu pra onde é que ela
Rick e Renner;09685;HOMEM CARENTE;Tô precisando tanto de um olhar assim
Rick e Renner;09850;NEGATIVO, POSITIVO;Às vezes quero que você se dane
Rick e Renner;09860;PASSE O TEMPO QUE PASSAR;Tudo que ficou depois que a gente ter
