INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
Br'oz;06715;SE VOCÊ NÃO ESTÁ AQUI;Tarde... é tarde pra dizer...
Bruce Dickinson;02656;TEARS OF THE DRAGON;For too long now there were secrets in my mind
Bruce Hornsby and The Range;19274;THE WAY IT IS;Standing in line marking time waiting for the wefare
Bruce Springsteen;05877;BORN IN THE USA;Born down in a dead man's town
Bruce Springsteen;05888;DANCING IN THE DARK;I get up in the evening
Bruce Springsteen;05982;STREETS OF PHILADELPHIA;I was
Bruna Caram;01383;FIM DE TARDE;Eu só desperto quando acende o farol
Bruna Caram;01394;PALAVRAS DO CORAÇÃO;São sorrisos largos lagos
Bruna Caram;01992;CAMINHO PRO INTERIOR;A manhã nasceu lá fora
Bruna Karla;02431;QUANDO EU CHORAR;Deus meu Deus tudo está tão difícil
Bruna Karla;02444;ADVOGADO FIEL;Não vou me preocupar com as 
Bruna Karla;02454;EU SEI QUE NÃO ESTOU SÓ;Senhor por mais que eu fale
Bruna Karla;02466;QUE BOM QUE VOCÊ CHEGOU;Me sinto tão amada isso faz bem
Bruna Karla;02473;SOU HUMANO;Deus mais uma vez segura em minha mão
Bruna Viola - Bruno e Barreto;16317;QUEM É QUE NÃO GOSTA;Ele tava acostumado com mulher cheia
Bruninho & Davi - Michel Teló;02940;VAMOS MEXER;A nossa vida não é brincadeira
Bruninho e Davi;15117;SE NAMORAR FOSSE BOM;Se namorar fosse bom isso aqui tava vazio
Bruninho e Davi;15411;FICO COM VOCÊ;Te ver e não te ter me dá um desespero
Bruninho e Davi;15775;ME LEVA AMOR;Na primeira vez que a gente ficou 
Bruninho e Davi;15941;IMAGINA COM AS AMIGAS;Ela é maluca é linda e sabe que é gostosa
Bruninho e Davi - Gusttavo Lima;16268;FAIXA 3;Na segunda gaveta do meu armário guardo
Bruninho e Davi - Jorge e Mateus;15550;ONDE NASCE O SOL;Hoje a saudade conversou comigo
Bruninho e Davi - Luan Santana;16179;E ESSA BOCA AÍ;Sabe àquela hora no show que o cantor
Bruno e Barreto;15897;FARRA, PINGA E FOGUETE;Hoje eu quero um dia de sossego...
Bruno e Barretto - Marco Filho Brasil;16382;BRUTO MEMO;O meu nome é Bruto o sobrenome é Memo
Bruno e Marrone;07368;FRUTO ESPECIAL;Gosto quando sua mão
Bruno e Marrone;07460;TÁ PEGANDO;Tá no toque da sanfona tá no gosto do
Bruno e Marrone;07634;MARIANNE;No dia do aniversário do nosso namo
Bruno e Marrone;07723;VÊ SE TOMA JUÍZO;Não vou mais acreditar no que me fala
Bruno e Marrone;07582;DESIGUAIS;Não faz mal sei que já não me quer
Bruno e Marrone;09320;PRA NÃO MORRER DE AMOR;Melhor se me avisasse
Bruno e Marrone;09494;NÃO TEM OUTRO JEITO;Se quer parar se quer pensar
Bruno e Marrone;09386;AMOR DE BALADA;Saí
Bruno e Marrone;09412;CASTELO DE AREIA;Vou tentando segurar é loucura te que
Bruno e Marrone;09379;ABAFA O CASO;Abafa o caso
Bruno e Marrone;09458;FICAR POR FICAR;Eu não quero só ficar quero mais que a
Bruno e Marrone;09645;COISA DE PELE;Se eu te encontrar por aí
Bruno e Marrone;09848;NÃO FAZ MAIS ISSO COMIGO;Não faz mais isso comigo
Bruno e Marrone;09684;HOJE EU NÃO TÔ PRA NINGUÉM;Hoje eu amanheci machucado de paixão
Bruno e Marrone;01172;NÃO TENTE ME IMPEDIR;Dundêrarium dundêrarium dundêrarium
Bruno e Marrone;01193;AMOR NÃO VAI FALTAR;Me diz o que você quer que eu te faça
Bruno e Marrone;01341;TE AMO TANTO;Tanto...
Bruno e Marrone;01436;PODE IR EMBORA;Procurei em outros braços
Bruno e Marrone;01447;CHAMEGO BOM;Ai que chamego bom
Bruno e Marrone;01456;LÁGRIMAS E VINHO;Foi com flores e com vinho
Bruno e Marrone;01468;SEJA BEM-VINDA;Encontrei no carro uma antiga agenda
Bruno e Marrone;01650;CAI FORA;Cai fora eu tô em outra
Bruno e Marrone;01663;BOM DEMAIS;Bom demais
Bruno e Marrone;01675;HOJE AMOR, NÃO VAI DAR;Hoje amor não vai dar
Bruno e Marrone;01682;AMIGA AMANTE E NAMORADA;Quando eu te conheci de fato me
Bruno e Marrone;01718;TENTATIVAS EM VÃO;Se eu soubesse o que fazer
Bruno e Marrone;01746;SONHANDO;Se passa o dia paro escuto o vento 
Bruno e Marrone;02856;PAREDE DE VIDRO;Tá se escondendo em parede de vidro
Bruno e Marrone;15064;COMO EU CHOREI;Eu nunca pensei que tivesse fim
Bruno e Marrone;15109;FAVO DE MEL;Te liguei para testar o seu amor
Bruno e Marrone;15199;VIDRO FUMÊ;Foi num telefonema anônimo
Bruno e Marrone;15232;JÁ NÃO SEI MAIS NADA;Eu não sei dizer se este amor
Bruno e Marrone;15680;VOU TE AMARRAR NA MINHA CAMA;Gatinha manhosa do beijo gostoso
Bruno e Marrone;15793;TCHAU AMOR;Este é o nosso último encontro
Bruno e Marrone;15886;CHORAR (LLORAR);Me perdi buscando te encontrar
Bruno e Marrone;15935;DORMI NA PRAÇA (VERSÃO ESTÚDIO);Eu caminhei sozinho pela rua
Bruno e Marrone;15970;ISSO CÊ NUM CONTA;Fala pra elas que o fim de semana
Bruno e Marrone;03938;TE AMO E NÃO TE QUERO;Pegue tudo aquilo que é seu
Bruno e Marrone;16174;AGORA (AHORA);Agora fala que me ama
Bruno e Marrone;16185;JURAS DE AMOR;Eu pensei que fosse fácil esquecer
Bruno e Marrone;16432;BEIJO DE VARANDA;Todo santo dia é mais um dia pra te e
Bruno e Marrone;03972;REI DO RODEIO;Eu sou peão, sou cabra macho bom
Bruno e Marrone;03988;ALÇAPÃO;Você acha fácil chegar dizendo que
Bruno e Marrone;04300;VIDA VAZIA;Depois que você foi embora...
Bruno e Marrone;04302;AGARRADA EM MIM;Enquanto a cidade dorme eu aqui me
Bruno e Marrone;06143;MEU JEITO DE SENTIR;Toda vez que vai sair o sol eu estou...
Bruno e Marrone;06173;DORMI NA PRAÇA;Caminhei sozinho pela rua…
Bruno e Marrone;06232;POR UM MINUTO;E todos os amantes já adormeceram...
Bruno e Marrone;06247;AMOR DE CARNAVAL;Primavera chegou seu amor me pegou…
Bruno e Marrone;06309;QUEM MANDA É O CORAÇÃO;Não vai dar pra segurar…
Bruno e Marrone;06322;ACORRENTADO EM VOCÊ;Eu não sei o que é que eu faço...
Bruno e Marrone;06395;UM BOM PERDEDOR;Sei que você pensa em me deixar…
Bruno e Marrone;06431;PROGRAMA DE FIM DE SEMANA;Não me deixe fora da sua agenda….
Bruno e Marrone;06448;BIJUTERIA;Quando a noite cai…
Bruno e Marrone;06484;AGORA VAI;Vai Pode ir embora antes... 
Bruno e Marrone;06529;CREDO EM CRUZ AVE-MARIA;Desce uma geladinha…
Bruno e Marrone;06541;MENINA;Menina cada instante em minha vida…
Bruno e Marrone;06615;LIGAÇÃO URBANA;Alô amor tô te ligando de um orelhão…
Bruno e Marrone;06678;VAI DAR NAMORO;Do jeito que você me olha...
Bruno e Marrone;06689;DEIXA;Deixa eu pelo menos falar de nós...
Bruno e Marrone;06751;SERÁ;Sou o primeiro homem na Lua...
Bruno e Marrone;06790;SE NÃO TIVESSE IDO;E eu pensei que nunca ia te perder...
Bruno e Marrone;06837;TE AMAR FOI ILUSÃO;Eu sei....Talvez eu tenha 
Bruno e Marrone;06844;APAZIGUAR;Outra vez nós dois brigamos
Bruno e Marrone;06856;INEVITÁVEL;É animal é tão voraz essa paixão
Bruno e Marrone;06972;QUER CASAR COMIGO?;Quer quer quer... quer casar comigo…
Bruno e Marrone;06899;CHORAM AS ROSAS;Choram as rosas…
Bruno e Marrone;07217;POR TE AMAR DEMAIS;Eu já sei sei que vai ligar
Bruno e Marrone;07229;QUE PESCAR QUE NADA;Já paguei quem eu devia
Bruno e Marrone;07120;ENTÃO PODE IR;Você me fala com tanta certeza
Bruno e Marrone ;01250;DUAS VEZES VOCÊ ;Se a saudade não doesse assim
Bruno e Marrone ;01255;FLASH BACK DE NÓS DOIS ;Mas se quiser pode rolar
Bruno e Marrone E Calypso;06967;POR QUE CHORAS?;Porque chora assim…
Bruno e Marrone-Edson e Hudson;09387;AMOR DE PING PONG;E esse amor de ping pong
Bruno Mars;19009;IT WILL RAIN;If you ever leave me baby
Bruno Mars;19036;JUST THE WAY YOU ARE;Oh her eyes her eyes make the stars
Bruno Mars;19019;TALKING TO THE MOON;I know you're somewhere out there
Bruno Mars;19021;THE LAZY SONG;Today I don't feel like doing anything
Bruno Mars;19054;GRENADE;Easy come easy go that's just how you live
Bruno Mars;19061;LOCKED OUT OF HEAVEN;Oh yeah...Never had much faith in love
Bruno Mars;19197;WHEN I WAS YOUR MAN;Same bed but it feels just a little bit bigger now
Bruno Mars;19290;GORILLA;Ooh I got a body full of liquor with a cocaine kicker
Bruno Mars;19675;TREASURE;Give me your give me your
Bruno Mars;19715;THAT'S WHAT I LIKE;Hey hey hey I got a condo in Manhattan
Bruno Mars;19467;MARRY YOU;It's a beautiful night
Bruno Mars - Mark Ronson;19403;UPTOWN FUNK;This hit that ice cold Michelle Pfeiffer that
Bryan Adams;04898;HAVE YOU EVER REALLY LOVED A WOMAN;To really love a woman...
Bryan Adams;04875;CAN'T STOP THIS THINGS WE STARTED;Yeah...
Bryan Adams;19775;STRAIGHT FROM THE HEART;I could start dreamin' but it never ends
Bryan Adams;04706;EVERYTHING I DO (I DO IT FOR YOU);Look into my eyes you will see...
Bryan Ferry ;09234;SLAVE TO LOVE ;Tell her I be waiting in the usual plac 
Buchecha;15459;FRUTILLY;Praia sol e mar
Buchecha;15900;HOT DOG;É que eu sou hot hot é que eu sou hot dog
Buchecha - Belo;15326;CRISTAL;Tão encantada ela vem me faz flutuar
Buddy Holly;09124;I'M LOOKIN' FOR SOMEONE TO LOVE;Stayin' at home waitin' for you…
Byafra;02876;HELENA;Noite que se foi sem se quer dizer pra onde foi 
C. EVANGÉLICA VILA DA PENHA;05626;NOSSO DEUS É SOBERANO;Me rendo aos Teus pés venho rasgar...
C.C.R;02516;I PUT A SPELL ON YOU;I put a spell on you because you're mine
C.C.R.;09073;WHO'LL STOP THE RAIN;Long as I remember
C.C.R.;05960;RUN THROUGH THE JUNGLE;Oh oh thought it was a nightmare
C.C.R.;05910;GREEN RIVER;Well take me back down where cool water f
C.C.R.;02553;BORN ON THE BAYOU;Now when I was just a little boy
C.C.R.;04792;TRAVELIN’ BAND;Seven-thirty-seven comin’ out...
C.C.R.;04508;COTTON FIELDS;When I was a little baby my mother
C.C.R.;04602;PROUD MARY;Left a good good in the city
C.C.R.;04616;BAD MOON RISING;I see the bad moon rising I see
C.C.R.;04656;SUSIE Q;Oh susie Q, oh Susie Q, oh Susie
C.C.R.;04580;HAVE YOU EVER SEEN THE RAIN;Someone told me long ago
C.C.R.;04795;UP AROUND THE BEND;There’s a place up ahead and I’m goin’...
C.C.R.;04591;LODI;Just about a year ago
Cachorro grande;09534;SINCERAMENTE;Sinceramente você pode se abrir comi
Caetano / Gal Costa;03937;SORTE;Tudo de bom que você me fizer
Caetano Veloso;07487;A LUZ DE TIETA;Todo dia é o mesmo dia a vida é tão
Caetano Veloso;07692;ROCKS;Tatuou um ganesh na coxa
Caetano Veloso;09313;ORAÇÃO AO TEMPO;És um senhor tão bonito
Caetano Veloso;09490;NÃO ENCHE;Me larga não enche
Caetano Veloso;09530;SAMBA DE VERÃO;Você viu só que amor nunca vi coisa a
Caetano Veloso;01364;MINHA VOZ, MINHA VIDA;Minha voz minha vida
Caetano Veloso;01635;TERRA;Quando eu me encontrava preso
Caetano Veloso;03070;É HOJE;A minha alegria atravessou o mar
Caetano Veloso;03246;SAMPA;Alguma coisa acontece no meu coração
Caetano Veloso;03292;VOCÊ É LINDA;Fonte de mel nos olhos de gueixa
Caetano Veloso;01944;IRENE ;Eu quero ir minha gente
Caetano Veloso;02849;ECLIPSE OCULTO;Nosso amor não deu certo gargalhadas
Caetano Veloso;15156;TIRANIZAR;Se você quiser me prender vai ter que saber me soltar
Caetano Veloso;15365;CAJUÍNA;Existirmos a que será que se destina 
Caetano Veloso;15659;FELICIDADE;Felicidade foi-se embora e a saudade
Caetano Veloso;15795;UM ABRAÇAÇO;Dei um laço no espaço pra pegar um pedaço
Caetano Veloso;03668;LUA DE SÃO JORGE;Lua de São Jorge, lua deslumbrante
Caetano Veloso;03723;QUEIXA;Um amor assim delicado
Caetano Veloso;03741;BELEZA PURA;Não me amarra dinheiro não
Caetano Veloso;03837;DEBAIXO DOS CARACÓIS DOS SEUS CABELOS;Um dia a areia branca seus pés irão tocar
Caetano Veloso;03867;CHUVA, SUOR E CERVEJA;Não se perca de mim não se esqueça
Caetano Veloso;16168;O QUERERES;Onde queres revólver sou coqueiro
Caetano Veloso;16435;ISTO AQUI O QUE É;Isso aqui ô ô é um pouquinho de Brasil iá iá
Caetano Veloso;03947;ALEGRIA ALEGRIA;Caminhando contra o vento, sem 
Caetano Veloso;04134;SOZINHO;As vezes no silêncio da noite
Caetano Veloso;04159;LUA E ESTRELA;Menina do anel de lua e estrela
Caetano Veloso;04276;LONDON LONDON;I'm wandering round and round...
Caetano Veloso;04286;O LEÃOZINHO;Gosto muito de te ver leãozinho...
Caetano Veloso;04409;QUALQUER COISA;Esse papo já tá qualquer coisa...
Caetano Veloso;06142;MEIA LUA INTEIRA;Meia lua inteira sopapo na cara do...
Caetano Veloso;06174;DRÃO;Drão, o amor da gente é como um grão…
Caetano Veloso;06278;SOY LOCO POR TI AMERICA;Soy loco por ti America…
Caetano Veloso;06305;PODRES PODERES;Enquanto os homens…
Caetano Veloso;06439;TRILHOS URBANOS;O melhor o tempo esconde…
Caetano Veloso;06679;VOCÊ NÃO ME ENSINOU A TE ESQUECER;Não vejo mais você faz tanto tempo...
Caetano Veloso;06753;TREM DAS CORES;A franja da encosta cor de laranja...
Caetano Veloso;06818;DISSERAM QUE VOLTEI AMERICANIZADA;Disseram que eu voltei americanizada
Caetano Veloso;06871;PRA TE LEMBRAR;Que é que eu vou fazer pra te esquecer
Caetano Veloso;07023;LUNA ROSSA;La ari il ra la ari il ra Vaca distrattamente abbabdunato
Caetano Veloso - Tom Zé - Gilberto Gil;16039;TROPICÁLIA;Sobre a cabeça os aviões
Caetano Veloso E Flávio Venturini;06768;CÉU DE SANTO AMARO;Olho para o céu...
Caetano Veloso E Gal Costa;07574;CORAÇÃO VAGABUNDO;Meu coração não se cansa de ter esper
Caetano Veloso E Gilberto Gil;06533;DESDE QUE O SAMBA É SAMBA;A tristeza é senhora…
Caetano Veloso E Jorge Mautner;06594;TODO ERRADO;Eu não peço desculpa e nem peço…
Caio Cesar e Diego;02824;ANIMAL;Tô à procura de uma namorada
Caio Cesar e Diego;02925;PEGA USA E JOGA FORA;Pega usa e joga fora
Cake;19492;NEVER THERE;I need your arms around me
Calcinha Preta;07671;PENSÃO ALIMENTÍCIA;Que foi que eu fiz
Calcinha Preta;09319;POR QUE TOCOU MEU CORAÇÃO;Por que tocou meu coração
Calcinha Preta;01185;AMOR DIVIDIDO;Não quero mais esse amor dividido
Calcinha Preta;01190;VOCÊ NÃO VALE NADA;Você nao vale nada mas eu gosto de vo
Calcinha Preta;01353;BEBO E CHORO;Eu choro feito um menino chorão
Calcinha Preta;02845;CENA DE NOVELA;O nosso amor é cena de novela
Calcinha Preta;15802;A DONA DO BARRACO;Ela é glamourosa e está com tudo em cima
Calcinha Preta;15899;FILMES E HISTÓRIAS;Queria viver com você um conto de fadas
Calcinha Preta;16257;A CASA CAIU;Eu descobri que tem um outro amor
Calcinha Preta;06851;DECLARAÇÃO DE AMOR;Hoje me deu uma vontade louca aluci
Calcinha Preta;07214;POR AMOR;Será que você já me esqueceu
Calcinha Preta;07063;BABYDOLL;Só você sabe me fazer mulher
Calcinha Preta;07245;SEU NAMORADO;Eu não vou te deixar eu quero é mais 
Calling (The);19277;WHEREVER YOU WILL GO;So lately been wondering
Calvin Harris - John Newman;19841;BLAME;Can't be sleepin' keep on wakin'
Calypso;06490;DANÇANDO CALYPSO;Chega pra cá meu bem que eu vou te…
Calypso;06734;IMAGINO;Imagino nós dois na mesma cama...
Camila Cabello;19825;NEVER BE THE SAME;Something must've gone wrong in my brain
Camila Cabello - Young Thug;19764;HAVANA;Havana ooh na-na
Camisa de Vênus;09537;SÓ O FIM;Se o chão abriu sob os seus pés
Camisa De Vênus;06313;SIMCA CHAMBORD;Um dia meu pai chegou em casa…
Camisa De Vênus;06370;EU NÃO MATEI JOANA D'ARC;Eu nunca tive nada com Joana D'arc…
Cansei de Ser Sexy;09540;SUPER AFIM;Ontem quando eu acordei ah eu tava tã
Capital Cities;19851;SAFE AND SOUND;I could lift you up
Capital Inicial;07466;TODAS AS NOITES;Todas as noites são iguais
Capital Inicial;07554;ANÚNCIO DE REFRIGERANTE;Sentado embaixo do bloco sem ter o qu
Capital Inicial;07905;AQUI;Às vezes acho que eu fiquei louco
Capital Inicial;07960;EU NUNCA DISSE ADEUS;Eu não sei o que eu tô fazendo
Capital Inicial;07968;FOGO;Você é tão acostumada a sempre ter razão
Capital Inicial;09597;ALGUM DIA;Ninguém nunca te disse como ser tão im
Capital Inicial;09652;DANÇANDO COM A LUA;Cuidado comigo eu não sou nenhum sant
Capital Inicial;01502;ALTOS E BAIXOS;Esse aqui é meu lugar
Capital Inicial;01540;VIVENDO E APRENDENDO;Outra história com um outro rosto
Capital Inicial;01609;MIL VEZES;Há sempre alguma coisa que esquecemos
Capital Inicial;01623;PROVA;Vejo seu retrato
Capital Inicial;01637;UM HOMEM SÓ;As lágrimas secam e eu esqueço
Capital Inicial;01647;AUTORIDADES;Vou denunciar
Capital Inicial;03165;MÚSICA URBANA;Contra todos e contra ninguém
Capital Inicial;02813;O MUNDO;Tchuru tchu... você que já esteve no céu
Capital Inicial;15194;SOL ENTRE NUVENS;Várias portas num quarto pequeno
Capital Inicial;15336;LEVE DESESPERO;Eu não consigo mais me concentrar
Capital Inicial;15355;TUDO QUE VAI;Hoje é o dia eu quase posso
Capital Inicial;15399;VERANEIO VASCAÍNA;Cuidado pessoal lá vem vindo a veraneio
Capital Inicial;15466;KAMIKAZE;Você não me deixa respirar
Capital Inicial;15736;MELHOR DO QUE ONTEM;Eu ainda sinto o gosto da noite passada
Capital Inicial;16231;OLHOS VERMELHOS;Os velhos olhos vermelhos voltaram
Capital Inicial;16342;NÃO ME OLHE ASSIM;Não me olhe assim não me queira mal
Capital Inicial;04318;INDEPENDÊNCIA;Toda essa curiosidade...
Capital Inicial;06069;NATASHA;Tem dezessete anos e fugiu de casa...
Capital Inicial;06090;CAI A NOITE;Cai a noite na cidade vinda de lugar...
Capital Inicial;06148;O PASSAGEIRO;Eu sou o passageiro eu rodo sem parar...
Capital Inicial;06372;FÁTIMA;Vocês esperam uma intervenção divina…
Capital Inicial;06445;A SUA MANEIRA;Ela dormiu no calor dos meus braços…
Capital Inicial;06505;QUATRO VEZES VOCÊ;Rafael tá trancado há dois dias no…
Capital Inicial;06538;MAIS;É sempre frio é tão estranho…
Capital Inicial;06607;COMO DEVIA ESTAR;Folhas verdes caem no jardim….
Capital Inicial;06716;SEM CANSAR;Lá lá.. Qual é a parte do corpo...
Capital Inicial;06785;NÃO OLHE PRA TRÁS;Nem tudo é como você quer...
Capital Inicial;06874;RESPIRAR VOCÊ;Lento como o tempo que não quer
Capital Inicial ;01241;A VIDA É MINHA (EU FAÇO O QUE EU QUISER) ;Faça isso Faça aquilo 
Capital Inicial - Seu Jorge;15959;VAI E VEM;Nem sempre o céu sorri pra mim
Capital Inicial E Kiko Zambianchi;06028;PRIMEIROS ERROS;Meu caminho é cada manhã...
Capital Inicial Zelia Duncan;01584;EU VOU ESTAR;Eu não vou pro inferno
Captain and Tennille;05939;LOVE WILL KEEP US TOGETHER;Love love will keep us together
Captain and Tennille;02523;DO THAT TO ME ONE MORE TIME;Do that to me one more time
Carl Douglas;05930;KUNG FU FIGHTING;Oh oh oh oh
Carl Perkins;04868;BLUE SUEDE SHOES;Well it's one for the money...
Carlinhos Brown;07632;MARES DE TI;Se tropeçar meus pés cansados
Carlinhos Brown;15376;FAZ UM;Ê ê... Eu sou um brasileiro e mando um
Carlinhos Brown;15388;MIX COPA BROWN;Ê Brasil Brasil Brasil como é lindo esse
Carlinhos Brown;03601;A NAMORADA;Ei bicho o broto do seu lado
Carlinhos Brown - Quésia Luz;15560;VOCÊ, O AMOR E EU;Uma saudade de nós bateu
Carlinhos Brown E Dj Dero;07633;MARIA CAIPIRINHA;Tê tê tê tê tê tê tê tê tê tê tê tê t
Carlos Alexandre;09372;A CIGANINHA;Você é a ciganinha dona do meu cora
Carlos Alexandre;16181;FEITICEIRA;Feiticeira feiticeira feiticeira é essa mulher
Carlos Dafé;07482;A CRUZ;Êh ah êh ah êh ah
Carlos Dafé;07726;VENHA MATAR SAUDADES;Chora tristeza de viver assim
Carlos Dafé;07221;PRA QUE VOU RECORDAR O QUE SOFRI;Não quero mais saber de ti
Carlos Gonzaga;03966;OH CAROL;Oh Carol, sem o teu amor tudo é
Carlos Gonzaga;06632;SERENO;Sereno da madrugada caindo no meu…
Carlos José;01164;ESMERALDA;Vestida de noiva com véu e grinalda
Carlos José;01177;QUERIA;Queria que você fosse o meu último
Carlos Lyra;02914;LOBO BOBO;Era uma vez um lobo mau
Carlos Oliva E Los Sobrinos;03368;MACARENA;Dale a tu cuerpo alegria macarena
Carlos Santos;06346;QUERO VOCÊ;Meu amor não se esqueça de mim...
Carly Rae Jepsen;19046;CALL ME MAYBE;I threw a wish in the well don't ask me
Carly Rae Jepsen;19074;THIS KISS;I went out last night I'm going out tonight
Carly Simon;09077;YOU KNOW WHAT TO DO;The night is filled with pretty girls
Carly Simon;09145;NOBODY DOES IT BETTER;Nobody does it better…
Carly Simon;02528;JUST LIKE YOU DO;If you think you're alone
Carly Simon;04695;COMING AROUND AGAIN;Baby sneezes momy pleases...
Carmelo Pagano;07021;L'AMORE SE NE VA;L'amore se ne va
Carmem Silva;07493;ADEUS SOLIDÃO;Eu já sofri e até chorei sozinha sem
Carmen Silva;16111;SEGURA NA MÃO DE DEUS;Se as águas do mar da vida quiserem te afogar
Carnaval;03782;ALLAH LA ÓH;Allahh lá oh,oh,oh,oh,oh,oh,oh
Carnaval;03783;AURORA;Se você fosse sincera ô,ô,ô,ô
Carnaval;03785;CACHAÇA;Você pensa que cachaça é água
Carnaval;03787;CORAÇÃO DE JACARÉ;Trocaram o coração da minha sogra
Carnaval;03800;JARDINEIRA;Ó jardineira por que estás tão triste
Carnaval;03802;MAMÃE EU QUERO;Mamãe eu quero, mamãe eu quero
Carnaval;03805;ME DÁ UM DINHEIRO AÍ;Ei, você aí
Carnaval;03810;QUEM SABE, SABE;Quem sabe sabe, conhece bem
Carnaval;03812;SACA ROLHA;As águas vão rolar
Carnaval;03813;SASSARICANDO;Sa-sassaricando
Carnaval;03817;TAÍ;Taí
Caro Emerald;19161;A NIGHT LIKE THIS;From where you are you see the smoke
Carol Celico e Claudia Leitte;02678;MESMA LUZ;Foi assim que um dia sozinha eu te vi
Carol Song;04651;SILVER BELLS;City side walks busy side walks
Carol Song;04604;SILENT NIGHT;Silent night holy night
Carole King;09171;SO FAR AWAY;So far away…
Carole King;04730;IT’S TOO LATE;Stayed in bed all mornin’ just to pass...
Carpenters;09014;CLOSE TO YOU;Why do birds suddenly appear
Carpenters;09068;THIS MASQUERADE;Are we really happy
Carpenters;04914;I NEED TO BE IN LOVE;The hardest thing I've ever done...
Carpenters;09156;RAINY DAYS AND MONDAYS;Talkin' to myself and feelin' old…
Carpenters;09194;WE'VE ONLY JUST BEGUN;We've only just begun to live…
Carpenters;09115;HURTING EACH OTHER;No one in the world…
Carpenters;09133;LET ME BE THE ONE;Some sleepless night…
Carpenters;02552;BLESS THE BEASTS AND THE CHILDREN;Bless the beasts and the children
Carpenters;19173;FOR ALL WE KNOW;Love look at the two of us
Carpenters;19668;SING;Sing sing a song
Carpenters;04752;ONLY YESTERDAY;After long enough of being alone...
Carpenters;04612;TOP OF THE WORLD;Such a feelin's comin'over me
Carpenters;04615;YESTERDAY ONCE MORE;When I was young I'd listen to the radio
Carpenters;04728;IT’S GONNA TAKE SOME TIME;It’s gonna take some time this time...
Carpenters;04606;SUPERSTAR;Long ago and oh so far away
Carpenters;04756;PLEASE MR. POSTMAN;Oh yes wait a minute Mister Postman...
Carrapicho;03565;FESTA DE UM POVO;ôh, ôh,ôh é, ôh, lê,lê, lê, lê
Cartola;09591;ACONTECE;Esquece o nosso amor vê se esquece
Cartola;09854;O MUNDO É UM MOINHO;Ainda é cedo amor
Cartola;03018;AS ROSAS NÃO FALAM;Bate outra vez com esperanças 
Casa de Davi (Davi Silva e Mike Shea);07769;DIGNO;Não me canso de expressar a Ti
Casa de Davi (Davi Silva e Mike Shea);07869;SANTO É O TEU NOME;Em toda terra se ouvirá um novo som
Cascatinha E Inhana;03365;ÍNDIA;Índias seus cabelos
Cássia Eller;07562;BLUES DA PIEDADE;Agora eu vou cantar pros miseráveis
Cássia Eller;07649;NO RECREIO;Quer saber quando te olhei na piscina
Cássia Eller;07994;LUZ DOS OLHOS;Ponho os meus olhos em você
Cássia Eller;09550;TODA VEZ QUE EU DIGO ADEUS;Toda vez que eu digo adeus
Cássia Eller;01384;GATAS EXTRAORDINÁRIAS;O amor me pegou
Cássia Eller;01522;ALL STAR;Estranho seria se eu não me apaixona
Cássia Eller;01988;AS COISAS TÃO MAIS LINDAS;Entre as coisas mais lindas que eu con
Cássia Eller;16103;NÓS;Eu sei que me disseram por aí
Cássia Eller;03623;MALANDRAGEM;Quem sabe eu ainda sou uma garotinha
Cássia Eller;03661;E.C.T.;Tava com cara que carimba postais
Cássia Eller;16211;1º DE JULHO;Eu vejo o que aprendi e o quanto te
Cássia Eller;06317;TOP TOP;Lá ih lá ih… Eu vou sabotar…
Cássia Eller;06343;O SEGUNDO SOL;Quando o segundo sol chegar...
Cássia Eller;06429;O MEU MUNDO FICARIA COMPLETO;Não é porque eu sujei a roupa…
Cássia Eller;06708;PALAVRAS AO VENTO;Ando por aí querendo te encontrar...
Cássia Eller;06737;NA CADÊNCIA DO SAMBA;Sei que vou morrer não sei o dia...
Cássia Eller e Nando Reis;01740;RELICÁRIO;É uma índia com um colar 
CASSIANE;05613;HINO DA VITORIA;Quem é o Homem que teve o poder...
Cassiane;02414;COM CRISTO É VENCER;Eu sei que a tua vida por aí não é tão
Cassiane;02420;ELE TEM PODER;Deus tem um plano traçado pra tua
Cassiane;02437;VAI POVO MEU;Vai povo meu vai povo meu vai povo
Cassiane;02440;VOU SEGUIR;Se você já pensou em desistir tenha
Cassiane;02441;500 GRAUS;Uma chuva diferente agora está
Cassiane;02447;BASTA UMA PALAVRA;Vou contar-lhe a história
Cassiane;02457;LOUVE SEMPRE;Louve sempre louve louve exalte 
Cassiane;02460;MERGULHE;Ouço o som de um grande rio
Cassiane;02461;MINHA BÊNÇÃO;Já na alva luz do dia a raiar
Cassiane;02471;SEMENTES DA FÉ;Nos braços do Pai eu vou repousar
Cassiane;02474;TODO PODEROSO;Feche os teus olhos neste lugar
Cassiane;07731;A CURA;Eu quero mergulhar nos rios do espíri
Cassiane;07757;COM MUITO LOUVOR;Deus não rejeita oração oração é ali
Cassiane e Jairinho;02410;CADA INSTANTE DE NÓS DOIS;Meu coração me pediu pra amar você
Cassiane e Jairinho;02960;VOCÊ E EU;Pra que mentir pra o coração que só
Cassiane e Jairinho;07849;O TEMPO NÃO PODE APAGAR;O tempo não pode apagar
Cassiano;01311;SALVE ESSA FLOR;De um jardim sem cor
Casuarina;01478;VASO RUIM;Mostro minha face suja
Cat Stevens;09074;WILD WORLD;Now that I've lost everything to you
